steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
3842640,237041,40.07,1910,0.0718,0.23964,12.137,3276,12974.0,3.38
3899824,240615,40.57,1906,0.0718,0.23209,11.91,3313,13233.9,3.41
3955616,244102,41.07,1859,0.0718,0.23358,11.929,3346,12966.4,3.31
4005856,247242,41.57,1674,0.0718,0.227,12.085,3380,13368.8,3.38
4060304,250645,42.07,1815,0.0718,0.22601,12.169,3418,12691.9,3.19
4113536,253972,42.57,1774,0.0718,0.22933,12.134,3454,12510.1,3.19
4166560,257286,43.07,1767,0.0718,0.22729,11.867,3487,12693.0,3.24
4221056,260692,43.57,1816,0.0718,0.22928,12.216,3518,14022.2,3.54
4270112,263758,44.07,1635,0.0718,0.22426,12.102,3548,14014.7,3.5
4323344,267085,44.57,1774,0.0718,0.22916,12.372,3584,13902.4,3.57
4377920,270496,45.07,1819,0.0718,0.22755,12.31,3618,12932.3,3.37
4432960,273936,45.57,1834,0.0718,0.23079,12.245,3653,13152.4,3.42
4485936,277247,46.07,1766,0.0718,0.233,12.271,3688,13444.7,3.43
4536256,280392,46.57,1677,0.0718,0.23121,12.271,3723,13330.7,3.43
4592896,283932,47.07,1887,0.0718,0.23011,12.139,3757,13159.2,3.33
4647952,287373,47.57,1835,0.0718,0.23127,12.233,3792,13452.2,3.44
4705568,290974,48.07,1920,0.0718,0.23892,12.247,3831,13499.1,3.4
4754992,294063,48.57,1647,0.0718,0.24062,12.066,3861,12920.6,3.26
4810032,297503,49.07,1835,0.0718,0.24091,12.209,3904,12640.2,3.1
4863312,300833,49.57,1776,0.0718,0.23978,12.307,3941,12098.0,2.94
4919968,304374,50.07,1888,0.0718,0.24454,12.535,3977,12466.7,3.11
4977056,307942,50.57,1903,0.0718,0.24299,12.105,4016,12948.8,3.25
5025216,310952,51.07,1605,0.0718,0.24033,12.507,4050,13115.0,3.27
5079328,314334,51.57,1803,0.0718,0.24632,12.497,4086,12949.5,3.19
5133888,317744,52.07,1818,0.0718,0.24426,12.06,4121,12827.0,3.17
5187616,321102,52.57,1791,0.0718,0.24204,12.169,4155,13345.1,3.36
5241024,324440,53.07,1780,0.0718,0.23579,12.123,4187,12711.8,3.25
5289216,327452,53.57,1606,0.0718,0.24035,12.474,4227,12657.1,3.25
5344496,330907,54.07,1842,0.0718,0.24778,12.626,4260,12797.2,3.18
5400192,334388,54.57,1856,0.0718,0.24638,12.695,4297,13330.3,3.27
5456240,337891,55.07,1868,0.0718,0.25065,12.53,4336,13566.2,3.3
5506464,341030,55.57,1674,0.0718,0.24495,12.963,4372,13123.1,3.22
5560784,344425,56.07,1810,0.0718,0.25387,12.817,4404,13536.1,3.33
5616448,347904,56.57,1855,0.0718,0.2607,12.975,4441,13499.4,3.34
5672592,351413,57.07,1871,0.0718,0.26455,12.919,4480,13169.5,3.27
5728368,354899,57.57,1859,0.0718,0.2675,12.828,4522,13054.2,3.2
5776576,357912,58.07,1607,0.0718,0.26692,12.503,4554,12479.7,3.03
5831072,361318,58.57,1816,0.0718,0.28874,12.882,4592,12354.5,2.99
5886048,364754,59.07,1832,0.0718,0.28324,13.124,4633,12260.3,2.94
5941488,368219,59.57,1848,0.0718,0.29666,13.242,4671,12612.1,3.06
5997952,371748,60.07,1882,0.0718,0.29933,13.244,4712,12326.7,2.93
6050816,375052,60.57,1762,0.0718,0.28752,13.317,4746,12879.6,3.09
6108784,378675,61.07,1932,0.0718,0.30717,13.783,4787,13168.4,3.21
6165712,382233,61.57,1897,0.0718,0.31456,13.891,4824,13250.1,3.27
6220144,385635,62.07,1814,0.0718,0.3024,13.639,4864,12681.0,3.09
6272336,388897,62.57,1740,0.0718,0.31964,13.696,4895,13441.2,3.29
6328896,392432,63.07,1885,0.0718,0.31662,13.999,4934,13410.4,3.27
6384160,395886,63.57,1842,0.0718,0.31855,13.812,4971,13760.6,3.32
6441680,399481,64.07,1917,0.0718,0.32995,14.091,5006,14105.6,3.37
6498016,403002,64.57,1877,0.0718,0.35342,14.137,5043,14066.3,3.36
6545504,405970,65.07,1583,0.0718,0.36047,14.443,5079,13836.2,3.32
6600752,409423,65.57,1842,0.0718,0.34232,14.536,5113,13358.3,3.25
6653872,412743,66.07,1770,0.0718,0.33764,14.566,5150,13091.7,3.2
6708272,416143,66.57,1813,0.0718,0.32496,14.779,5189,13241.0,3.19
6756032,419128,67.07,1592,0.0718,0.32075,14.76,5219,13249.3,3.17
6810768,422549,67.57,1824,0.0718,0.30804,14.72,5262,13368.1,3.19
6863920,425871,68.07,1772,0.0718,0.31339,15.035,5306,12223.6,2.89
6917072,429193,68.57,1772,0.0718,0.32676,14.658,5347,11598.3,2.82
6969568,432474,69.07,1750,0.0718,0.33314,14.674,5384,12223.6,2.95
7017856,435492,69.57,1609,0.0718,0.32656,14.957,5420,12225.3,3.0
7072000,438876,70.07,1805,0.0718,0.33319,15.146,5452,12891.8,3.16
7126496,442282,70.57,1816,0.0718,0.33755,15.586,5491,13467.4,3.28
7181632,445728,71.07,1838,0.0718,0.33049,15.384,5531,13765.0,3.26
7236048,449129,71.57,1814,0.0718,0.3338,15.418,5570,13311.2,3.17
7284320,452146,72.07,1609,0.0718,0.32776,15.577,5602,13062.1,3.15
7339664,455605,72.57,1845,0.0718,0.31516,15.408,5640,13573.5,3.28
7393664,458980,73.07,1799,0.0718,0.31254,15.637,5678,13570.8,3.29
7448464,462405,73.57,1826,0.0718,0.32903,15.878,5717,13559.9,3.3
7500016,465627,74.08,1708,0.0718,0.33308,16.21,5751,13504.1,3.35
7552592,468913,74.58,1752,0.0718,0.3314,16.277,5791,13559.0,3.33
7605376,472212,75.08,1759,0.0718,0.33866,16.164,5828,12900.9,3.16
7657184,475450,75.58,1727,0.0718,0.3397,16.442,5863,12932.0,3.23
7711424,478840,76.08,1808,0.0718,0.32424,16.041,5897,13372.6,3.36
7758944,481810,76.58,1584,0.0718,0.3157,16.195,5927,14092.0,3.57
7813248,485204,77.08,1810,0.0718,0.30549,16.182,5961,14222.4,3.57
7867280,488581,77.58,1801,0.0718,0.30227,16.342,5996,14434.1,3.64
7920016,491877,78.08,1758,0.0718,0.30539,16.417,6030,14041.4,3.58
7973536,495222,78.58,1784,0.0718,0.30085,16.291,6066,14262.4,3.58
