steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
61432336,3830149,39.01,1713,0.0718,0.29422,20.751,2333,18862.6,4.38
61483312,3833335,39.51,1699,0.0718,0.29037,20.859,2361,18849.3,4.45
61528304,3836147,40.01,1499,0.0718,0.28546,20.425,2385,18461.1,4.42
61580960,3839438,40.51,1755,0.0718,0.2917,20.659,2413,19628.7,4.66
61633344,3842712,41.01,1746,0.0718,0.28901,20.608,2447,18737.0,4.46
61683072,3845820,41.51,1657,0.0718,0.29152,20.777,2483,17819.0,4.2
61734720,3849048,42.01,1721,0.0718,0.2904,20.865,2513,16581.0,3.95
61779568,3851851,42.51,1495,0.0718,0.29452,20.573,2535,17337.3,4.11
61829936,3854999,43.01,1679,0.0718,0.28693,20.559,2561,18212.9,4.27
61881584,3858227,43.51,1721,0.0718,0.28886,20.557,2591,19429.6,4.57
61932816,3861429,44.01,1707,0.0718,0.2909,20.657,2623,20097.1,4.68
61983776,3864614,44.51,1699,0.0718,0.29103,20.421,2655,18746.8,4.39
62028960,3867438,45.01,1506,0.0718,0.2936,20.73,2676,18682.6,4.34
62078864,3870557,45.51,1663,0.0718,0.29116,20.768,2707,18676.0,4.39
62131104,3873822,46.01,1741,0.0718,0.28682,20.672,2738,18511.1,4.35
62183200,3877078,46.51,1736,0.0718,0.29194,20.677,2767,19258.4,4.48
62234128,3880261,47.01,1697,0.0718,0.27997,20.488,2797,19177.5,4.43
62277904,3882997,47.51,1459,0.0718,0.28133,20.788,2819,18632.8,4.39
62331248,3886331,48.01,1778,0.0718,0.28026,20.453,2847,19526.1,4.63
62382720,3889548,48.51,1715,0.0718,0.28415,20.585,2873,19441.7,4.62
62433568,3892726,49.01,1695,0.0718,0.28721,20.685,2907,19451.1,4.6
62483888,3895871,49.51,1677,0.0718,0.28302,20.736,2930,19420.8,4.54
62528096,3898634,50.01,1473,0.0718,0.28942,20.448,2960,19356.9,4.4
62579664,3901857,50.51,1719,0.0718,0.27888,20.263,2989,19268.3,4.43
62631088,3905071,51.01,1714,0.0718,0.27793,20.798,3019,18581.9,4.39
62683296,3908334,51.51,1740,0.0718,0.271,20.774,3051,17823.2,4.23
62734064,3911507,52.01,1692,0.0718,0.27783,20.619,3081,18250.9,4.36
62775136,3914074,52.51,1369,0.0718,0.28195,20.678,3103,18513.6,4.36
62826864,3917307,53.01,1724,0.0718,0.27678,20.55,3131,18698.5,4.35
62877824,3920492,53.51,1698,0.0718,0.27506,20.596,3161,19674.8,4.6
62928720,3923673,54.01,1696,0.0718,0.27585,20.351,3187,19886.6,4.62
62979248,3926831,54.51,1684,0.0718,0.2769,20.409,3222,18770.3,4.45
63022384,3929527,55.01,1438,0.0718,0.2743,20.572,3248,17988.4,4.29
63073520,3932723,55.51,1704,0.0718,0.28095,20.595,3279,17565.5,4.28
63107280,3934833,56.01,1125,0.0718,0.28333,20.325,3298,16810.7,4.1
63158096,3938009,56.51,1694,0.0718,0.28167,20.399,3328,17308.0,4.18
63209232,3941205,57.01,1704,0.0718,0.27903,20.326,3360,18100.4,4.3
63254992,3944065,57.51,1525,0.0718,0.28054,20.68,3385,17937.2,4.21
63305968,3947251,58.01,1699,0.0718,0.27323,20.586,3414,18400.7,4.34
63357920,3950498,58.51,1731,0.0718,0.27753,20.612,3444,19365.9,4.55
63408544,3953662,59.01,1687,0.0718,0.28264,20.676,3469,19188.3,4.53
63459568,3956851,59.51,1701,0.0718,0.28196,20.561,3500,19999.2,4.68
63504768,3959676,60.01,1506,0.0718,0.27922,20.269,3521,19379.4,4.54
63558320,3963023,60.51,1785,0.0718,0.27841,20.415,3555,18403.7,4.36
63609792,3966240,61.01,1716,0.0718,0.27788,20.714,3583,19157.2,4.57
63663040,3969568,61.51,1775,0.0718,0.28433,20.477,3612,18101.8,4.29
63715856,3972869,62.01,1760,0.0718,0.28231,20.577,3646,19029.1,4.47
63760944,3975687,62.51,1503,0.0718,0.28154,20.612,3674,18233.7,4.34
63814624,3979042,63.01,1789,0.0718,0.28425,20.667,3707,17497.7,4.12
63865216,3982204,63.51,1686,0.0718,0.28084,20.671,3735,18279.5,4.27
63918000,3985503,64.01,1759,0.0718,0.28087,20.744,3764,18799.1,4.42
63969392,3988715,64.51,1713,0.0718,0.28582,20.666,3792,19754.0,4.56
64012624,3991417,65.01,1441,0.0718,0.28096,20.4,3817,19905.0,4.63
64066240,3994768,65.51,1787,0.0718,0.28069,20.653,3848,18924.6,4.41
64119792,3998115,66.01,1785,0.0718,0.2796,20.77,3882,19404.1,4.54
64172976,4001439,66.51,1773,0.0718,0.27993,20.781,3910,18255.2,4.35
64223616,4004604,67.01,1688,0.0718,0.28327,20.756,3939,19007.8,4.53
64267504,4007347,67.51,1463,0.0718,0.28203,20.859,3961,18225.5,4.36
64317568,4010476,68.01,1668,0.0718,0.27865,20.423,3995,18768.6,4.43
64367568,4013601,68.51,1666,0.0718,0.27179,20.44,4023,18103.4,4.29
64418768,4016801,69.01,1706,0.0718,0.2706,20.804,4055,17300.4,4.14
64468672,4019920,69.51,1663,0.0718,0.27512,20.64,4082,17478.7,4.2
64512432,4022655,70.01,1458,0.0718,0.27871,20.701,4112,18034.6,4.31
64562976,4025814,70.51,1684,0.0718,0.2733,20.132,4137,17764.8,4.28
64613296,4028959,71.01,1677,0.0718,0.27827,20.676,4167,18987.9,4.49
64666224,4032267,71.51,1764,0.0718,0.27984,20.586,4197,19628.3,4.52
64717744,4035487,72.01,1717,0.0718,0.27677,20.519,4227,19475.4,4.54
64762528,4038286,72.51,1493,0.0718,0.28582,20.346,4254,18725.6,4.35
