steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
69294640,4318419,39.11,1489,0.0718,0.27832,20.918,2441,19217.3,4.47
69349904,4321873,39.61,1842,0.0718,0.27935,20.726,2476,18605.1,4.29
69405344,4325338,40.11,1848,0.0718,0.27777,20.795,2506,18152.2,4.28
69461840,4328869,40.61,1883,0.0718,0.27879,20.528,2541,18305.6,4.27
69510720,4331924,41.11,1629,0.0718,0.28245,20.739,2568,18804.8,4.35
69567008,4335442,41.61,1876,0.0718,0.28239,20.684,2602,18951.8,4.28
69621952,4338876,42.11,1831,0.0718,0.27898,20.777,2631,18873.4,4.26
69678752,4342426,42.61,1893,0.0718,0.2847,20.94,2666,19002.6,4.31
69737392,4346091,43.11,1954,0.0718,0.28223,20.785,2700,18991.5,4.35
69786976,4349190,43.61,1652,0.0718,0.284,20.635,2730,19427.2,4.4
69845232,4352831,44.11,1942,0.0718,0.28324,20.639,2763,19899.4,4.48
69902160,4356389,44.61,1897,0.0718,0.29478,20.744,2799,18611.9,4.17
69956832,4359806,45.11,1822,0.0718,0.29007,20.606,2829,18572.9,4.28
70002528,4362662,45.61,1523,0.0718,0.28624,20.912,2856,18746.3,4.31
70027632,4364231,46.11,835,0.0718,0.2801,20.68,2868,18172.1,4.25
70084224,4367768,46.61,1886,0.0718,0.2937,20.815,2901,18662.0,4.42
70141520,4371349,47.11,1910,0.0718,0.29134,20.705,2940,18654.9,4.34
70197184,4374828,47.61,1855,0.0718,0.29103,20.929,2971,18065.0,4.27
70250016,4378130,48.15,1627,0.0718,0.29943,20.718,2999,18188.6,4.27
70305392,4381591,48.65,1846,0.0718,0.2979,20.875,3034,18751.6,4.32
70360384,4385028,49.15,1833,0.0718,0.29273,20.888,3063,19383.2,4.42
70415136,4388450,49.65,1825,0.0718,0.28691,20.595,3092,20291.2,4.56
70471136,4391950,50.15,1867,0.0718,0.28702,20.959,3126,20456.4,4.62
